Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Período:Dez/2017
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"411770 Palmeira";3;20;43;32;51;86;108;94;103;64;53;40;13;11;3;5;0;1;1;731
"411780 Palmital";1;1;5;4;2;4;7;2;2;3;3;2;2;0;0;0;0;0;0;38
"411790 Palotina";2;21;15;13;20;32;47;29;30;26;22;21;15;10;3;1;0;0;0;307
"411800 Paraíso do Norte";0;1;2;1;3;4;6;4;7;5;2;5;5;0;0;1;0;0;0;46
"411810 Paranacity";0;5;10;14;12;16;26;23;24;19;8;10;4;8;3;2;0;0;0;184
"411820 Paranaguá";34;398;1078;1258;1226;1480;1615;1824;1773;1367;1007;785;492;268;116;63;33;18;5;14840
"411830 Paranapoema";0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;5
"411840 Paranavaí";1;42;55;53;69;111;182;170;145;94;91;64;60;26;19;10;2;1;0;1195
"411845 Pato Bragado";0;2;0;1;0;2;1;6;2;0;0;0;0;0;0;0;0;0;0;14
"411850 Pato Branco";8;26;36;36;28;45;62;83;75;51;42;39;19;15;9;2;1;1;0;578
"411860 Paula Freitas";0;0;1;0;4;1;7;4;3;2;0;2;0;0;0;0;0;0;0;24
"411870 Paulo Frontin";0;2;1;1;1;0;5;2;1;2;1;1;0;1;0;0;0;0;0;18
"411880 Peabiru";0;15;28;31;28;42;36;52;46;29;18;21;8;5;2;1;0;0;0;362
"411885 Perobal";0;1;0;1;0;0;3;0;3;0;0;1;1;0;1;1;0;0;0;12
"411890 Pérola";0;4;3;5;2;6;10;7;12;4;1;4;4;0;0;0;0;0;0;62
"411900 Pérola d'Oeste";0;0;2;1;0;0;2;0;0;2;0;1;0;0;0;0;0;0;0;8
"411910 Piên";0;2;18;28;33;40;44;51;48;25;13;5;5;3;0;0;0;0;0;315
"411915 Pinhais";57;471;844;824;928;1368;1640;1763;1706;1244;1007;629;410;262;126;68;46;41;6;13440
"411920 Pinhalão";0;0;0;1;1;1;4;4;3;0;0;1;1;0;0;0;0;0;0;16
"411930 Pinhão";0;3;1;8;3;8;16;11;13;6;5;7;2;1;1;0;0;0;0;85
"411940 Piraí do Sul";0;19;46;31;20;46;58;67;48;29;23;12;10;4;4;2;2;2;0;423
"411950 Piraquara";22;194;370;401;431;617;820;768;700;539;392;249;135;70;28;12;11;15;0;5774
"411960 Pitanga";0;6;9;11;15;22;23;26;12;11;15;6;7;2;2;1;0;0;0;168
"411965 Pitangueiras";0;0;0;0;0;0;1;5;0;2;0;0;0;0;0;0;0;0;0;8
"411970 Planaltina do Paraná";0;0;1;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;6
"411980 Planalto";0;0;0;1;1;2;0;3;3;3;1;0;1;1;0;1;0;0;0;17
"411990 Ponta Grossa";72;782;1467;1529;1490;2108;2714;2675;2669;2044;1518;1234;734;441;235;81;45;29;1;21868
"411995 Pontal do Paraná";55;299;350;279;226;220;315;337;296;208;149;111;64;33;16;8;1;0;0;2967
"412000 Porecatu";0;3;7;5;6;12;12;15;19;11;12;8;5;9;7;3;2;3;0;139
"412010 Porto Amazonas";0;0;1;0;1;1;2;7;2;3;2;3;1;1;1;1;0;0;0;26
"412020 Porto Rico";0;0;1;0;0;0;1;2;1;1;1;0;1;0;0;0;0;0;0;8
"412030 Porto Vitória";0;0;1;1;0;0;3;1;1;1;1;0;0;0;0;0;0;0;0;9
"412033 Prado Ferreira";0;0;1;0;0;4;1;0;3;1;1;0;0;0;0;0;0;0;0;11
"412035 Pranchita";0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;5
"412040 Presidente Castelo Branco";1;6;11;9;6;9;19;9;14;5;1;0;2;1;0;0;0;0;0;93
"412050 Primeiro de Maio";0;2;4;4;3;11;5;3;2;9;7;4;6;1;3;0;1;0;0;65
"412060 Prudentópolis";1;3;5;10;3;11;25;16;10;6;11;4;3;5;4;0;0;0;0;117
"412065 Quarto Centenário";1;2;2;3;3;10;6;12;6;7;5;2;0;0;0;0;0;0;0;59
"412070 Quatiguá";0;0;1;2;1;1;0;3;2;2;0;2;0;1;0;0;0;0;0;15
"412080 Quatro Barras";11;66;140;164;170;219;284;288;268;187;122;86;55;42;9;11;4;5;2;2133
"412085 Quatro Pontes";0;0;0;3;0;0;4;4;4;2;0;2;1;0;0;0;0;0;0;20
"412090 Quedas do Iguaçu";0;4;13;20;9;23;24;30;29;26;20;8;5;3;1;2;0;0;0;217
"412100 Querência do Norte";0;1;3;2;0;7;5;6;2;3;3;3;0;1;0;1;0;0;0;37
"412110 Quinta do Sol";0;0;0;0;1;3;4;5;2;1;1;1;1;0;0;0;0;0;0;19
"412120 Quitandinha";2;2;10;10;3;18;15;12;15;8;5;4;2;2;2;1;0;0;0;111
"412125 Ramilândia";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
"412130 Rancho Alegre";0;0;1;0;0;1;0;4;2;0;1;1;0;1;0;0;0;0;0;11
"412135 Rancho Alegre D'Oeste";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"412140 Realeza";1;3;7;8;8;14;14;12;11;8;4;1;6;0;1;0;0;0;0;98
"412150 Rebouças";0;1;1;2;3;2;2;2;3;2;1;2;2;1;0;0;0;0;0;24
"412160 Renascença";0;2;0;1;1;3;2;0;3;0;2;0;1;0;0;0;0;0;0;15
"412170 Reserva";1;14;17;28;25;26;23;34;11;22;5;7;4;2;1;0;0;0;0;220
"412175 Reserva do Iguaçu";0;0;1;1;0;0;3;1;0;2;1;0;0;0;0;0;0;0;0;9
"412180 Ribeirão Claro";0;0;1;4;1;5;6;4;2;1;3;1;2;1;0;0;0;0;0;31
"412190 Ribeirão do Pinhal";0;2;2;4;2;4;5;2;2;3;2;2;2;4;2;0;0;0;0;38
"412200 Rio Azul";1;4;15;14;15;38;35;35;28;29;21;14;6;3;1;1;1;0;0;261
"412210 Rio Bom";0;0;0;0;0;1;1;0;1;0;1;3;1;0;0;1;0;0;0;9
"412215 Rio Bonito do Iguaçu";0;1;0;0;0;3;2;3;0;0;2;0;0;0;0;0;0;0;0;11
"412217 Rio Branco do Ivaí";3;12;11;11;4;11;13;17;11;3;3;2;0;0;0;0;0;0;0;101
"412220 Rio Branco do Sul";3;56;122;96;96;144;152;136;123;102;66;55;20;12;4;0;3;4;0;1194
"412230 Rio Negro";0;18;22;15;17;27;44;50;43;26;20;18;10;9;7;2;2;1;0;331
"412240 Rolândia";3;28;49;45;59;135;204;257;238;202;135;122;78;51;31;11;8;25;0;1681
"412250 Roncador";0;1;3;7;3;6;7;5;5;11;4;3;1;0;0;0;0;0;0;56
"412260 Rondon";0;0;1;4;3;1;1;5;2;1;1;3;2;2;0;0;0;0;0;26
"412265 Rosário do Ivaí";0;3;1;8;5;12;7;13;2;9;4;6;4;1;0;1;0;0;0;76
"412270 Sabáudia";0;0;3;2;4;4;6;9;4;7;2;1;1;0;0;0;0;0;0;43
"412280 Salgado Filho";0;0;0;0;0;1;2;1;4;1;1;1;0;1;0;0;0;0;0;12
"412290 Salto do Itararé";0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;4
"412300 Salto do Lontra";0;0;3;1;2;6;10;8;9;5;5;1;1;1;0;0;0;0;0;52
"412310 Santa Amélia";0;1;1;0;0;0;0;3;2;1;2;0;1;1;0;0;0;0;0;12
"412320 Santa Cecília do Pavão";0;0;1;1;2;2;2;2;1;3;2;2;0;0;0;0;0;0;0;18
"412330 Santa Cruz de Monte Castelo";0;0;1;5;0;3;3;3;4;2;3;2;0;1;0;0;0;0;0;27
"412340 Santa Fé";0;1;4;2;1;3;6;13;6;6;2;2;3;0;1;0;0;0;0;50
"412350 Santa Helena";0;3;7;4;2;6;9;4;11;4;4;5;0;1;1;0;0;0;0;61
"412360 Santa Inês";0;0;0;1;1;2;2;0;2;0;2;0;1;1;0;0;0;1;0;13
"412370 Santa Isabel do Ivaí";0;1;1;2;4;5;2;5;3;3;3;0;0;1;0;0;0;0;0;30
"412380 Santa Izabel do Oeste";0;3;0;2;1;1;1;4;3;1;1;1;1;0;0;0;0;0;0;19
"412382 Santa Lúcia";0;0;0;1;0;1;2;2;1;0;0;1;1;1;0;0;0;0;0;10
"412385 Santa Maria do Oeste";1;1;2;0;0;0;0;3;4;1;1;1;0;0;0;0;0;0;0;14
"412390 Santa Mariana";0;4;7;10;3;6;9;11;12;6;2;7;5;1;1;0;0;0;0;84
"412395 Santa Mônica";0;0;0;0;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;8
"412402 Santa Tereza do Oeste";1;5;13;6;6;26;20;28;23;11;3;7;4;1;1;0;0;0;0;155
"412405 Santa Terezinha de Itaipu";1;7;6;7;3;10;19;25;20;15;7;8;9;2;1;1;0;0;0;141
"412400 Santana do Itararé";0;0;1;0;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0;8
"412410 Santo Antônio da Platina";0;5;14;16;13;16;30;37;33;20;19;21;16;14;7;5;0;2;0;268
"412430 Santo Antônio do Paraíso";0;0;1;2;1;1;2;2;2;1;1;0;0;0;0;0;0;0;0;13
"412440 Santo Antônio do Sudoeste";0;0;1;1;2;1;4;7;1;4;2;3;1;5;0;0;0;0;0;32
"412450 Santo Inácio";0;2;4;1;2;4;6;8;4;5;2;1;2;1;0;0;0;0;0;42
"412460 São Carlos do Ivaí";0;0;1;0;0;4;4;1;2;2;2;1;0;2;0;0;0;0;0;19
"412470 São Jerônimo da Serra";0;4;1;0;1;4;4;1;1;2;1;0;2;1;1;0;0;0;0;23
"412480 São João";0;4;2;1;1;2;6;1;6;3;3;0;1;0;0;0;0;0;0;30
"412490 São João do Caiuá";0;1;3;0;0;3;2;5;2;3;3;3;2;0;0;2;1;0;0;30
"412500 São João do Ivaí";0;2;3;1;1;2;8;0;6;4;5;5;3;1;0;2;0;1;0;44
"412510 São João do Triunfo";0;2;1;2;1;5;8;10;5;10;2;3;1;1;2;0;0;0;0;53
"412520 São Jorge d'Oeste";0;1;2;0;6;1;1;7;1;4;1;5;2;1;0;0;0;0;0;32
"412530 São Jorge do Ivaí";0;0;0;3;1;3;8;4;5;8;2;4;0;1;0;0;0;0;0;39
"412535 São Jorge do Patrocínio";0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
"412540 São José da Boa Vista";0;2;0;0;0;2;2;0;1;0;0;3;1;2;0;0;0;0;0;13
"412545 São José das Palmeiras";0;1;2;1;1;6;9;3;1;1;0;3;0;0;0;0;0;0;0;28
"412550 São José dos Pinhais";222;1507;2703;2323;2383;3319;4796;5317;4886;3347;2287;1384;841;507;261;101;75;94;4;36357
"412555 São Manoel do Paraná";0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;6
"412560 São Mateus do Sul";9;59;135;190;209;210;237;255;273;222;148;114;53;33;10;3;6;6;0;2172
"412570 São Miguel do Iguaçu";0;2;17;3;4;11;20;19;15;6;10;9;6;1;0;1;0;1;0;125
"412575 São Pedro do Iguaçu";0;7;3;5;5;5;17;8;16;4;5;1;2;0;0;0;0;0;0;78
"412580 São Pedro do Ivaí";0;5;10;10;9;18;22;27;22;15;9;3;2;3;0;1;1;0;0;157
"412590 São Pedro do Paraná";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"412600 São Sebastião da Amoreira";0;0;0;1;3;3;3;1;3;3;4;2;1;1;0;2;0;0;0;27
"412610 São Tomé";0;0;1;0;1;3;6;10;2;0;2;3;3;1;1;0;0;0;0;33
"412620 Sapopema";0;6;4;3;3;2;3;3;3;0;3;1;0;0;0;0;0;0;0;31
"412625 Sarandi";8;80;139;120;126;280;362;340;233;167;137;95;36;17;6;6;0;0;0;2152
"412627 Saudade do Iguaçu";0;2;4;1;5;2;2;3;4;3;1;2;2;1;0;0;0;0;0;32
"412630 Sengés";0;2;5;5;6;6;7;5;3;2;2;2;1;0;0;1;0;0;0;47
"412635 Serranópolis do Iguaçu";0;0;0;0;1;3;1;1;1;1;1;0;0;0;0;0;0;0;0;9
"412640 Sertaneja";1;0;0;2;4;1;1;4;0;1;1;1;3;0;2;0;0;0;0;21
"412650 Sertanópolis";2;9;22;17;28;47;52;50;49;34;28;22;15;8;1;1;1;0;0;386
"412660 Siqueira Campos";0;6;3;1;5;7;3;7;12;5;4;3;1;2;2;0;0;0;0;61
"412665 Sulina";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
"412667 Tamarana";0;3;7;7;13;14;24;15;17;11;14;5;1;0;0;0;0;0;0;131
"412670 Tamboara";0;1;1;1;1;1;4;4;2;3;5;5;0;0;0;0;0;0;0;28
"412680 Tapejara";0;5;14;8;12;11;28;28;21;26;11;10;3;3;2;1;1;0;0;184
"412690 Tapira";0;0;0;0;0;2;2;0;1;0;0;2;1;0;1;0;0;0;0;9
"412700 Teixeira Soares";0;1;3;5;10;5;14;13;5;8;6;1;1;1;0;0;1;1;0;75
"412710 Telêmaco Borba";11;232;479;450;493;504;580;622;561;440;296;203;76;36;11;9;3;1;0;5007
"412720 Terra Boa";0;3;1;5;4;20;19;26;15;16;14;17;6;2;3;1;1;0;0;153
"412730 Terra Rica";0;5;6;3;3;8;11;7;15;5;7;2;1;4;3;0;0;0;0;80
"412740 Terra Roxa";0;4;4;2;3;3;3;9;3;3;7;1;0;0;1;0;0;0;0;43
"412750 Tibagi";2;15;23;18;21;36;34;26;21;19;9;7;3;4;1;0;0;0;0;239
"412760 Tijucas do Sul";0;9;6;9;15;26;45;34;16;25;17;12;2;2;1;0;0;0;0;219
"412770 Toledo";5;183;326;296;280;553;746;710;618;394;321;202;125;67;15;7;2;2;0;4852
"412780 Tomazina";0;2;0;1;3;2;2;2;1;0;6;2;2;0;0;0;1;0;0;24
"412785 Três Barras do Paraná";0;0;2;0;1;3;6;1;2;2;4;2;2;0;1;0;0;0;0;26
"412788 Tunas do Paraná";0;0;3;3;1;5;2;6;3;1;4;0;3;1;2;0;0;0;0;34
"412790 Tuneiras do Oeste";0;1;0;2;2;1;3;3;3;2;0;2;0;0;0;0;0;0;0;19
"412795 Tupãssi";2;15;18;16;16;25;35;27;30;18;14;12;2;3;0;0;0;1;0;234
"412796 Turvo";0;0;7;5;5;10;15;7;6;1;4;3;2;2;0;0;0;0;0;67
"412800 Ubiratã";1;7;15;10;7;19;40;34;23;26;7;5;8;5;2;0;0;0;0;209
"412810 Umuarama";1;25;55;47;47;88;112;128;121;60;61;49;29;31;15;8;3;1;0;881
"412820 União da Vitória";0;14;26;34;39;57;90;71;67;63;46;31;24;24;13;4;1;2;0;606
"412830 Uniflor";0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;4
"412840 Uraí";2;1;4;1;4;3;9;7;7;6;5;4;4;6;6;0;0;0;0;69
"412853 Ventania";0;2;2;4;1;2;5;5;5;2;0;1;0;0;1;0;0;1;0;31
"412855 Vera Cruz do Oeste";0;1;3;1;1;3;4;11;3;4;0;4;2;0;0;0;0;0;0;37
"412860 Verê";0;1;2;1;0;1;6;4;4;4;0;0;2;0;0;0;0;0;0;25
"412865 Virmond";0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;5
"412870 Vitorino";0;2;3;2;11;16;9;8;5;1;2;1;1;0;0;0;0;0;0;61
"412850 Wenceslau Braz";2;4;8;4;3;8;8;16;6;3;7;5;2;4;3;0;0;2;0;85
"412880 Xambrê";0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;4
"410000 Município ignorado - PR";0;0;4;18;40;49;62;64;61;75;82;65;42;39;17;14;1;3;0;636
"Total";2594;19955;35195;34180;35980;52391;71295;78063;73088;53956;41872;32070;21716;13997;8336;4308;2758;3495;167;585416
