Beneficiários por Município
Excl. Odontológico por Município e Faixa etária
Sexo: Feminino
UF: Paraná
Período:Dez/2017
"Município";"Até 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Inconsistente";"Total"
"410400 Campina Grande do Sul";14;114;218;205;227;374;427;424;397;298;231;147;73;48;21;4;3;5;0;3230
"410405 Campo Bonito";0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;5
"410410 Campo do Tenente";0;0;0;0;4;2;2;3;2;0;3;2;1;0;1;0;0;0;0;20
"410420 Campo Largo";51;323;546;550;572;849;1194;1203;1130;777;606;430;266;141;102;35;27;33;0;8835
"410425 Campo Magro";5;59;100;139;111;188;220;266;225;183;134;97;71;46;14;9;10;10;0;1887
"410430 Campo Mourão";6;126;200;256;265;416;571;562;496;409;337;249;143;80;28;20;6;1;0;4171
"410440 Cândido de Abreu";0;2;5;3;1;3;6;7;3;0;0;0;0;0;0;0;0;0;0;30
"410442 Candói";0;1;3;2;1;7;12;8;6;2;4;3;1;1;0;0;0;0;0;51
"410445 Cantagalo";0;0;3;2;3;7;15;5;12;5;5;8;3;0;1;0;0;0;0;69
"410450 Capanema";0;7;3;5;3;6;8;15;6;3;7;2;0;1;4;0;1;0;0;71
"410460 Capitão Leônidas Marques";0;1;4;2;3;1;4;5;2;5;2;1;3;3;0;0;0;0;0;36
"410465 Carambeí";5;98;146;148;153;172;197;208;176;144;108;51;23;4;1;0;0;0;0;1634
"410470 Carlópolis";1;1;1;0;1;4;2;7;2;3;3;5;3;2;0;0;1;0;0;36
"410480 Cascavel";31;365;724;609;757;1288;1793;1746;1447;1077;866;622;414;265;97;53;11;10;0;12175
"410490 Castro";15;137;242;241;259;327;431;426;368;253;155;85;51;21;7;3;1;1;0;3023
"410500 Catanduvas";0;2;2;1;5;6;6;2;4;1;2;1;0;0;0;0;0;0;0;32
"410510 Centenário do Sul";0;1;1;0;4;5;5;4;7;3;5;3;2;3;1;1;1;0;0;46
"410520 Cerro Azul";0;2;3;0;4;3;8;1;4;4;3;5;1;0;2;0;0;0;0;40
"410530 Céu Azul";0;0;6;3;7;7;8;10;12;5;8;2;2;2;1;0;0;1;0;74
"410540 Chopinzinho";1;4;7;9;10;28;34;31;34;11;20;5;5;2;1;1;0;0;0;203
"410550 Cianorte";4;14;46;54;70;173;219;196;154;127;106;68;34;24;12;4;2;4;0;1311
"410560 Cidade Gaúcha";0;1;2;1;4;4;5;3;3;4;2;4;2;0;2;0;0;0;0;37
"410570 Clevelândia";0;1;2;10;6;9;10;5;5;7;7;5;7;1;2;0;0;1;0;78
"410580 Colombo";60;592;1181;1138;1130;1993;2606;2613;2235;1570;1229;787;497;266;150;69;27;39;0;18182
"410590 Colorado";0;6;5;5;7;11;15;17;14;11;16;10;8;6;2;2;1;3;0;139
"410600 Congonhinhas";0;0;0;2;1;3;5;1;4;1;1;3;0;0;0;0;0;0;0;21
"410610 Conselheiro Mairinck";0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;5
"410620 Contenda";8;25;37;30;48;36;67;62;64;43;29;22;7;2;4;2;2;3;0;491
"410630 Corbélia";2;10;13;9;8;12;24;14;18;5;8;8;3;1;3;1;0;0;0;139
"410640 Cornélio Procópio";11;75;85;85;95;104;127;136;159;141;97;80;50;29;15;5;0;2;0;1296
"410645 Coronel Domingos Soares";0;0;4;1;4;7;8;4;2;1;2;1;3;0;0;0;0;0;0;37
"410650 Coronel Vivida";0;7;4;4;7;10;11;7;12;11;6;5;4;2;1;1;0;0;0;92
"410655 Corumbataí do Sul";0;1;5;1;0;8;5;4;1;1;3;1;0;0;0;0;0;0;0;30
"410680 Cruz Machado";0;2;2;3;2;3;4;5;3;3;5;1;3;2;0;0;0;0;0;38
"410657 Cruzeiro do Iguaçu";0;0;2;1;2;6;7;4;2;1;2;0;1;0;1;1;0;0;0;30
"410660 Cruzeiro do Oeste";0;2;5;5;7;10;19;23;22;12;17;8;4;2;2;0;0;1;0;139
"410670 Cruzeiro do Sul";0;0;2;3;3;0;1;7;2;3;2;0;1;0;0;0;0;0;0;24
"410685 Cruzmaltina";0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;6
"410690 Curitiba";1391;8921;15051;14453;15384;21416;29993;34988;34140;25330;19839;16043;11795;8012;5244;2850;1937;2566;139;269492
"410700 Curiúva";0;17;40;33;30;39;24;29;32;13;11;4;4;0;1;0;0;0;0;277
"410715 Diamante D'Oeste";0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;1;0;0;0;6
"410710 Diamante do Norte";0;1;3;0;0;1;1;4;1;1;1;1;0;0;0;0;0;0;0;14
"410712 Diamante do Sul";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"410720 Dois Vizinhos";1;26;58;69;67;80;160;193;223;191;163;78;32;12;2;2;0;0;0;1357
"410725 Douradina";0;0;1;2;0;3;2;2;1;3;0;3;0;0;0;0;0;0;0;17
"410730 Doutor Camargo";0;2;3;7;8;15;11;9;10;5;6;10;2;0;2;2;0;0;0;92
"412863 Doutor Ulysses";0;0;1;1;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;7
"410740 Enéas Marques";2;9;12;16;10;9;20;17;17;9;7;6;2;0;0;0;0;0;0;136
"410750 Engenheiro Beltrão";1;7;6;10;4;6;19;14;7;9;4;4;5;2;2;0;0;0;0;100
"410753 Entre Rios do Oeste";0;4;3;9;2;7;7;8;8;5;5;2;1;1;0;1;0;0;0;63
"410752 Esperança Nova";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"410754 Espigão Alto do Iguaçu";0;0;0;0;0;3;2;0;4;1;2;1;0;0;0;0;0;0;0;13
"410755 Farol";0;1;3;2;5;4;4;6;4;1;2;4;1;0;0;0;0;0;0;37
"410760 Faxinal";1;2;4;2;1;7;8;14;16;11;8;6;5;5;1;1;0;0;0;92
"410765 Fazenda Rio Grande";41;379;698;668;728;955;1336;1328;1031;713;458;340;196;83;38;18;8;4;4;9026
"410770 Fênix";0;0;3;1;3;3;4;6;3;0;2;1;0;0;0;0;0;0;0;26
"410773 Fernandes Pinheiro";0;5;4;9;7;8;7;7;8;2;3;1;1;0;1;0;0;0;0;63
"410775 Figueira";0;2;4;2;4;1;2;4;2;2;3;3;2;0;1;0;0;0;0;32
"410785 Flor da Serra do Sul";1;1;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;7
"410780 Floraí";0;0;1;0;3;2;6;5;6;3;8;4;2;0;2;0;0;0;0;42
"410790 Floresta";2;11;18;25;27;36;45;50;34;34;32;22;12;3;1;6;0;0;0;358
"410800 Florestópolis";0;0;1;1;3;5;2;3;2;3;3;1;0;1;0;0;0;0;0;25
"410810 Flórida";0;0;0;1;0;0;1;0;1;0;2;0;1;0;0;0;0;0;0;6
"410820 Formosa do Oeste";0;1;1;1;1;2;4;4;5;1;2;2;0;0;0;0;0;0;0;24
"410830 Foz do Iguaçu";12;151;289;264;290;525;689;750;580;460;312;250;167;102;60;24;10;10;0;4945
"410845 Foz do Jordão";0;1;3;0;2;2;5;4;2;0;0;0;0;0;0;0;0;0;0;19
"410832 Francisco Alves";0;0;0;1;0;4;0;3;3;1;0;1;2;0;0;0;0;0;0;15
"410840 Francisco Beltrão";7;50;125;131;122;174;284;375;377;268;236;154;66;32;20;8;2;3;0;2434
"410850 General Carneiro";1;1;4;8;10;10;21;17;20;24;19;8;6;1;0;0;0;1;0;151
"410855 Godoy Moreira";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;3
"410860 Goioerê";1;8;17;18;15;37;47;53;36;33;32;21;13;4;2;2;0;0;0;339
"410865 Goioxim";0;0;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;6
"410870 Grandes Rios";0;1;2;0;2;1;1;4;2;3;0;1;0;2;1;0;0;0;0;20
"410880 Guaíra";2;4;11;8;6;5;13;20;17;13;7;8;2;3;1;1;0;0;0;121
"410890 Guairaçá";0;0;1;2;1;4;1;3;3;3;0;0;1;0;0;0;0;0;0;19
"410895 Guamiranga";0;0;1;0;0;1;2;1;0;0;0;1;1;0;0;0;0;0;0;7
"410900 Guapirama";0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;4
"410910 Guaporema";0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4
"410920 Guaraci";0;3;3;3;2;7;5;6;12;9;11;6;2;2;1;2;0;0;0;74
"410930 Guaraniaçu";0;3;4;1;4;6;8;5;6;2;4;1;1;1;1;0;1;0;0;48
"410940 Guarapuava";34;211;322;328;287;420;534;582;525;374;325;223;134;98;60;32;35;63;0;4587
"410950 Guaraqueçaba";0;1;1;2;1;4;4;5;2;3;1;2;2;2;1;0;1;0;0;32
"410960 Guaratuba";2;22;36;39;40;55;82;62;73;66;48;43;33;27;18;7;3;1;0;657
"410965 Honório Serpa";0;0;0;0;0;1;2;3;0;0;2;0;0;1;0;0;0;0;0;9
"410970 Ibaiti";1;7;8;6;6;10;13;16;18;10;6;4;7;3;4;1;0;0;0;120
"410975 Ibema";0;4;6;1;1;1;3;6;1;1;2;2;0;0;0;0;0;0;0;28
"410980 Ibiporã";3;39;79;83;88;138;174;184;193;150;123;93;63;46;29;16;3;12;0;1516
"410990 Icaraíma";0;1;3;3;3;2;1;2;3;5;4;4;2;1;0;0;0;0;0;34
"411000 Iguaraçu";0;2;2;5;4;4;10;11;9;9;4;4;1;1;1;0;0;0;0;67
"411005 Iguatu";0;0;4;7;9;17;11;24;23;35;11;10;12;3;2;2;1;0;0;171
"411007 Imbaú";0;11;25;20;18;26;25;34;18;13;7;1;4;0;0;0;0;0;0;202
"411010 Imbituva";0;4;8;12;8;18;19;19;18;12;8;5;4;5;1;1;1;0;0;143
"411020 Inácio Martins";0;1;3;2;3;3;1;5;2;1;0;1;1;2;0;0;0;0;0;25
"411030 Inajá";0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4
"411040 Indianópolis";0;0;0;1;3;15;12;18;14;10;8;1;2;2;0;0;0;0;0;86
"411050 Ipiranga";0;0;5;2;6;9;2;4;7;3;6;0;0;1;0;0;0;1;0;46
"411060 Iporã";0;5;5;2;6;3;7;4;3;7;5;3;3;0;1;0;0;0;0;54
"411065 Iracema do Oeste";0;0;1;0;1;0;0;2;2;1;1;1;0;0;0;0;0;0;0;9
"411070 Irati";1;19;52;50;51;69;104;93;102;78;61;38;27;14;6;4;1;2;0;772
"411080 Iretama";0;2;2;4;2;8;3;2;12;1;3;0;2;0;2;1;0;0;0;44
"411090 Itaguajé";0;0;0;1;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;8
"411095 Itaipulândia";0;1;0;1;3;2;1;1;4;3;2;1;0;1;1;0;0;0;0;21
"411100 Itambaracá";0;1;1;0;4;3;0;4;3;2;3;1;1;1;1;1;0;0;0;26
"411110 Itambé";0;6;15;23;19;27;25;37;33;35;22;16;3;6;0;0;0;0;0;267
"411120 Itapejara d'Oeste";1;3;1;4;1;3;3;8;5;0;1;4;0;1;0;0;0;0;0;35
"411125 Itaperuçu";3;19;39;44;44;79;80;69;60;49;32;21;5;0;1;0;0;0;1;546
"411130 Itaúna do Sul";0;1;3;3;1;2;5;4;0;2;3;2;1;0;0;0;0;0;0;27
"411140 Ivaí";0;1;5;2;2;11;16;13;16;14;10;6;2;1;0;0;0;0;0;99
"411150 Ivaiporã";1;5;10;9;6;21;34;36;22;18;17;16;13;7;1;1;0;0;0;217
"411155 Ivaté";0;1;1;0;1;2;1;3;1;0;2;0;1;0;0;0;0;0;0;13
"411160 Ivatuba";0;1;5;4;4;15;9;17;7;9;9;4;3;2;0;0;0;0;0;89
"411170 Jaboti";1;1;0;1;0;1;2;2;1;0;1;0;1;0;0;1;0;0;0;12
"411180 Jacarezinho";0;4;16;24;15;21;29;45;37;31;24;23;14;13;11;1;6;4;0;318
"411190 Jaguapitã";0;4;7;5;9;13;23;18;13;8;11;13;12;4;3;1;0;0;0;144
"411200 Jaguariaíva";1;17;45;48;44;61;91;100;78;43;32;22;13;1;2;1;0;1;0;600
"411210 Jandaia do Sul";1;6;9;7;15;14;27;32;17;14;15;9;3;8;2;1;1;0;0;181
"411220 Janiópolis";0;0;2;3;1;3;5;3;3;5;4;2;0;0;0;0;0;0;0;31
"411230 Japira";0;1;0;0;1;0;0;1;1;1;4;0;0;0;0;0;0;0;0;9
"411240 Japurá";1;1;0;1;2;16;14;17;9;7;6;10;8;1;2;0;0;0;0;95
"411250 Jardim Alegre";0;1;2;2;7;5;2;7;6;3;9;4;1;3;3;0;0;0;0;55
"411260 Jardim Olinda";0;0;0;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;0;5
"411270 Jataizinho";0;12;13;10;22;24;26;29;32;21;16;8;8;7;2;2;0;0;0;232
"411275 Jesuítas";1;1;0;3;0;4;6;4;5;5;4;2;1;0;1;0;0;0;0;37
"411280 Joaquim Távora";1;2;4;3;0;5;6;9;8;3;5;2;1;1;1;1;0;1;0;53
"411290 Jundiaí do Sul";0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;4
"411295 Juranda";0;3;1;2;0;4;4;9;7;2;2;0;3;0;1;0;0;0;0;38
"411300 Jussara";0;0;2;0;7;4;8;8;5;4;6;8;1;0;0;0;1;0;0;54
"411310 Kaloré";0;0;1;0;1;0;1;0;2;0;2;1;0;0;0;0;0;0;0;8
"411320 Lapa";5;46;57;43;45;75;109;123;117;86;51;35;33;20;18;15;3;4;0;885
"411325 Laranjal";0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;5
"411330 Laranjeiras do Sul";1;6;11;13;18;18;37;34;21;17;13;9;12;5;2;0;0;0;0;217
"411340 Leópolis";0;3;1;2;0;1;2;2;3;0;1;0;1;0;1;0;0;0;0;17
"411342 Lidianópolis";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3
"411345 Lindoeste";0;1;1;1;2;4;6;2;2;2;0;0;1;0;0;0;0;0;0;22
"411350 Loanda";0;3;5;6;8;13;19;22;9;18;13;16;7;4;2;3;0;3;0;151
"411360 Lobato";1;5;6;13;8;6;8;12;12;10;9;4;4;1;0;0;0;1;0;100
"411370 Londrina";90;1022;1729;1655;1868;3112;4260;4550;4405;3292;2902;2446;1635;1126;622;337;228;299;0;35578
"411373 Luiziana";0;1;11;9;11;16;22;23;16;15;9;4;1;0;0;0;0;0;0;138
"411375 Lunardelli";0;1;0;1;1;0;1;1;1;0;3;0;0;0;0;1;0;0;0;10
"411380 Lupionópolis";0;2;3;0;1;2;1;1;2;1;3;0;0;1;1;0;0;0;0;18
"411390 Mallet";0;54;75;68;60;95;108;111;95;51;34;15;16;2;1;0;0;1;0;786
"411400 Mamborê";0;2;12;11;11;13;20;13;19;12;7;7;5;2;0;0;0;0;0;134
"411410 Mandaguaçu";5;11;35;28;39;80;89;73;52;61;29;22;10;6;1;1;1;0;0;543
"411420 Mandaguari";6;17;26;25;27;43;82;71;64;56;41;28;11;13;8;3;0;1;0;522
"411430 Mandirituba";2;19;29;31;27;48;64;53;53;33;29;19;11;6;6;3;1;0;0;434
"411435 Manfrinópolis";0;3;1;1;2;4;6;8;6;2;3;1;0;0;0;0;0;0;0;37
"411440 Mangueirinha";0;2;9;10;7;18;19;13;6;6;4;1;0;1;0;0;0;0;0;96
"411450 Manoel Ribas";0;4;4;10;9;18;15;20;5;12;2;4;2;1;0;0;0;0;0;106
"411460 Marechal Cândido Rondon";3;19;30;25;23;74;84;93;65;29;34;27;16;10;6;1;0;1;0;540
